time,G
1.46,533522.8265946093
1.47,533510.1913131269
1.48,533498.6425779936
1.49,533487.6986368909
1.5,533477.687362693
1.51,533468.3660124792
1.52,533459.7757020365
1.53,533451.5873889738
1.54,533444.0876642984
1.55,533437.1571621173
1.56,533430.6526752232
1.57,533424.7212806427
1.58,533419.0126016751
1.59,533413.8029998518
1.6,533408.9961502707
1.61,533404.4885014074
1.62,533400.4186229451
1.6300000000000001,533396.4691810504
1.6400000000000001,533392.7955352517
1.6500000000000001,533389.3497890527
1.6600000000000001,533386.3056081863
1.67,533383.2814035225
1.68,533380.522368834
1.69,533378.1129626614
1.7,533375.695752103
1.71,533373.5122738254
1.72,533371.4169607939
1.73,533369.5164416464
1.74,533367.6414906224
1.75,533365.9414354616
1.76,533364.45645729
1.77,533362.9136364369
1.78,533361.545603837
1.79,533360.2715992391
1.8,533359.0912308778
1.81,533357.9444471032
1.82,533356.8355433323
1.83,533355.879546313
1.84,533354.8685880201
1.85,533354.1352857893
1.86,533353.2003767241
1.87,533352.4501506165
1.8800000000000001,533351.7778186498
1.8900000000000001,533351.0497897028
1.9000000000000001,533350.5141919978
1.9100000000000001,533349.7586028646
1.92,533349.2561491955
1.93,533348.6913314055
1.94,533348.1141117621
1.95,533347.7045573685
1.96,533347.2004323744
1.97,533346.8011752191
1.98,533346.3786455437
1.99,533346.0402930178
2.0,533345.611972584
2.0100000000000002,533345.1567362971
2.02,533344.8090849714
2.0300000000000002,533344.5365680085
2.04,533344.1884968629
2.05,533343.8745273312
2.06,533343.4601897725
2.07,533343.2492244998
2.08,533342.9330462312
2.09,533342.712828337
2.1,533342.4315121407
2.11,533342.2275937276
2.12,533341.9511077257
2.13,533341.7346832559
2.14,533341.4386238094
2.15,533341.1872940403
2.16,533340.9921483377
2.17,533340.7950973257
2.18,533340.6029954358
2.19,533340.4895403828
2.2,533340.171127114
2.21,533339.9259390546
2.22,533339.7604895211
2.23,533339.5619615573
2.24,533339.4196314558
2.25,533339.131776725
2.2600000000000002,533339.0278777484
2.27,533338.8508873229
2.2800000000000002,533338.6752916953
2.29,533338.4565474612
2.3000000000000003,533338.299206186
2.31,533338.0664059302
2.32,533337.9411368
2.33,533337.7684194595
2.34,533337.6475782103
2.35,533337.4015287951
2.36,533337.3322121662
2.37,533337.2028530325
2.38,533336.8606848257
2.39,533336.8225535376
2.4,533336.673071871
2.41,533336.4462030899
2.42,533336.2978604796
2.43,533336.1514723323
2.44,533335.9843089058
2.45,533335.8254701565
2.46,533335.5994372639
2.47,533335.5837223062
2.48,533335.4234669508
2.49,533335.1726733614
2.5,533334.9843170516
2.5100000000000002,533334.9283976774
2.52,533334.7186412787
2.5300000000000002,533334.599967374
2.54,533334.422669806
2.5500000000000003,533334.3192836427
2.56,533334.1657967914
2.57,533333.9413939957
2.58,533333.7553633023
2.59,533333.5924678753
2.6,533333.5494265255
2.61,533333.3069517908
2.62,533333.1887216177
2.63,533333.0320819505
2.64,533332.9072600198
2.65,533332.6612094851
2.66,533332.6157314988
2.67,533332.4808806039
2.68,533332.3076161088
2.69,533332.136266834
2.7,533332.0053967878
2.71,533331.8692870969
2.72,533331.5595988823
2.73,533331.6449974678
2.74,533331.4157537364
2.75,533331.2127444473
2.7600000000000002,533331.074996685
2.77,533330.9684700273
2.7800000000000002,533330.7872711971
2.79,533330.5408865645
2.8000000000000003,533330.5950371127
2.81,533330.3357210183
2.82,533330.2417330225
2.83,533330.0056360652
2.84,533329.9666067054
2.85,533329.7536869418
2.86,533329.6194241273
2.87,533329.386359552
2.88,533329.3488458637
2.89,533329.1724701126
2.9,533329.0527846137
2.91,533328.8060219053
2.92,533328.6631282975
2.93,533328.6521468608
2.94,533328.3337383226
2.95,533328.2297452365
2.96,533328.1432053081
2.97,533327.9410783879
2.98,533327.8151836479
2.99,533327.6159188749
3.0,533327.5042601972
3.0100000000000002,533327.2703070857
3.02,533327.2684252275
3.0300000000000002,533327.0295043371
3.04,533326.851305444
3.0500000000000003,533326.7685427243
3.06,533326.5621036708
3.0700000000000003,533326.3683492113
3.08,533326.2176546648
3.09,533326.1696131115
3.1,533325.9768848133
3.11,533325.8281221924
3.12,533325.7386426626
3.13,533325.4783664871
3.14,533325.348130008
3.15,533325.2153795661
3.16,533325.0893040892
3.17,533324.9324439502
3.18,533324.7701770199
3.19,533324.6314115598
3.2,533324.4791015733
3.21,533324.29846286
3.22,533324.1437717964
3.23,533324.0481276053
3.24,533323.8398382121
3.25,533323.6765000909
3.2600000000000002,533323.5687387189
3.27,533323.4264569373
3.2800000000000002,533323.3971647961
3.29,533323.0990832216
3.3000000000000003,533323.0314720788
3.31,533322.8716603768
3.3200000000000003,533322.6248466643
3.33,533322.5729504763
3.34,533322.3250886089
3.35,533322.1013196791
3.36,533322.1145906975
3.37,533321.84647735
3.38,533321.806816439
3.39,533321.6000676409
3.4,533321.5672447871
3.41,533321.387692331
3.42,533321.1615977006
3.43,533320.9998757225
3.44,533320.8235647959
3.45,533320.7122240198
3.46,533320.570254257
3.47,533320.416039605
3.48,533320.2921120725
3.49,533320.1632058773
3.5,533320.0017657534
3.5100000000000002,533319.7960793491
3.52,533319.6124007559
3.5300000000000002,533319.6025209595
3.54,533319.3498261841
3.5500000000000003,533319.2016884643
3.56,533319.0582483917
3.5700000000000003,533318.8421592928
3.58,533318.7604191721
3.59,533318.6103403624
3.6,533318.5153465177
3.61,533318.3692570706
3.62,533318.18452852
3.63,533318.0809383012
3.64,533317.9013501762
3.65,533317.7335739965
3.66,533317.5924108105
3.67,533317.4248381464
3.68,533317.2646348785
3.69,533317.1209973191
3.7,533316.9279901759
3.71,533316.8484196742
3.72,533316.6347483513
3.73,533316.5764931305
3.74,533316.3719457632
3.75,533316.2369006524
3.7600000000000002,533316.1091250363
3.77,533315.9666062957
3.7800000000000002,533315.7059168548
3.79,533315.6241103703
3.8000000000000003,533315.5284721019
3.81,533315.2495655392
3.8200000000000003,533315.2038425975
3.83,533314.9217081737
3.84,533314.8333689212
3.85,533314.7364337336
3.86,533314.5016744573
3.87,533314.3852427442
3.88,533314.2109346603
3.89,533314.2169413469
3.9,533313.9927542366
3.91,533313.8629156691
3.92,533313.6734257637
3.93,533313.516896351
3.94,533313.303752704
3.95,533313.2199930755
3.96,533313.046518917
3.97,533312.9774983614
3.98,533312.8416659489
3.99,533312.7079485344
4.0,533312.5272559903
4.01,533312.3047045426
4.0200000000000005,533312.1288512875
4.03,533312.0729882438
4.04,533311.9024787238
4.05,533311.6462462085
4.0600000000000005,533311.6024563182
4.07,533311.4754173668
4.08,533311.2876468514
4.09,533311.1254571334
4.1,533310.9443366859
4.11,533310.7624017171
4.12,533310.7247527397
4.13,533310.519291558
4.14,533310.3730834329
4.15,533310.3214023587
4.16,533310.1190009357
4.17,533309.9533267586
4.18,533309.7918982743
4.19,533309.7108046495
4.2,533309.5707941416
4.21,533309.3812997482
4.22,533309.2139455854
4.23,533308.9301141121
4.24,533308.891040318
4.25,533308.7283588776
4.26,533308.5895719364
4.2700000000000005,533308.4820366752
4.28,533308.1479106547
4.29,533308.1064390988
4.3,533307.9984101541
4.3100000000000005,533307.81158294
4.32,533307.6140902388
4.33,533307.5783940919
4.34,533307.3987999321
4.3500000000000005,533307.1864115736
4.36,533307.1007181735
4.37,533306.9760671561
4.38,533306.7852631058
4.39,533306.6750373627
4.4,533306.4889328261
4.41,533306.3152691091
4.42,533306.1270703188
4.43,533306.0307556386
4.44,533305.8947777018
4.45,533305.778865617
4.46,533305.5793295752
4.47,533305.4579667441
4.48,533305.2368764243
4.49,533305.0959866738
4.5,533304.9796098192
4.51,533304.7824090591
4.5200000000000005,533304.726164118
4.53,533304.5583195321
4.54,533304.399129139
4.55,533304.2521309376
4.5600000000000005,533304.186249336
4.57,533303.9117654208
4.58,533303.6751480834
4.59,533303.6451967208
4.6000000000000005,533303.482713143
4.61,533303.3093790223
4.62,533303.1363251816
4.63,533303.0133189443
4.64,533302.8943571331
4.65,533302.7101612134
4.66,533302.7059366151
4.67,533302.3873006399
4.68,533302.2456819647
4.69,533302.0209188499
4.7,533301.9979361375
4.71,533301.7345536958
4.72,533301.6584134514
4.73,533301.5216148578
4.74,533301.3499242334
4.75,533301.3223665581
4.76,533301.1351549819
4.7700000000000005,533301.0014044899
4.78,533300.7413391345
4.79,533300.6919022535
4.8,533300.510285118
4.8100000000000005,533300.3740679341
4.82,533300.2369821896
4.83,533299.9900847429
4.84,533299.8643197267
4.8500000000000005,533299.7786781567
4.86,533299.4527801952
4.87,533299.511240393
4.88,533299.313243477
4.89,533299.1333146062
4.9,533298.9966381628
4.91,533298.7841290372
4.92,533298.6681417002
4.93,533298.5906661978
4.94,533298.4505662377
4.95,533298.3704895454
4.96,533298.0819953585
4.97,533297.902777238
4.98,533297.7600065283
4.99,533297.5848295187
5.0,533297.481852306
5.01,533297.3548951421
5.0200000000000005,533297.184059929
5.03,533297.0906029533
5.04,533296.8740884344
5.05,533296.7184403508
5.0600000000000005,533296.5567631641
5.07,533296.3542086117
5.08,533296.2074657475
5.09,533296.0769100783
5.1000000000000005,533296.0509532653
5.11,533295.8806588075
5.12,533295.7546579749
5.13,533295.4693132122
5.14,533295.2875066292
5.15,533295.2029491621
5.16,533295.0947570858
5.17,533294.9609148573
5.18,533294.8383932025
5.19,533294.6502228748
5.2,533294.5731566723
5.21,533294.3249073368
5.22,533294.1403980931
5.23,533293.952005622
5.24,533293.841632489
5.25,533293.7482015247
5.26,533293.541674229
5.2700000000000005,533293.4829620259
5.28,533293.3567559944
5.29,533293.0176750158
5.3,533293.0293717735
5.3100000000000005,533292.7242037986
5.32,533292.7062738427
5.33,533292.5974573523
5.34,533292.389471609
5.3500000000000005,533292.1722593701
5.36,533292.0569873392
5.37,533291.9231917433
5.38,533291.7771769381
5.39,533291.6261595426
5.4,533291.4808254986
5.41,533291.3470089383
5.42,533291.125921597
5.43,533291.0242646778
5.44,533290.9622941626
5.45,533290.7171643134
5.46,533290.564220306
